timestamp_local,rt_price,dam_price,total_load_mw,solar,wind,geothermal,biomass,biogas,small_hydro,coal,nuclear,natural_gas,large_hydro,power_storage,imports,other
2025-03-17 06:00:00,48.0267108333333,66.05143,23377.083333333336,-49.5,2993.4166666666665,756.3333333333334,139.16666666666666,159.41666666666666,224.83333333333337,1.0,2273.75,5058.0,2622.0833333333335,2939.4166666666665,6259.166666666667,0.0
2025-03-17 07:00:00,57.4726625,67.0254,25138.5,998.5,2703.5,768.0,143.66666666666666,158.0,210.91666666666663,0.75,2274.8333333333335,5254.25,2588.6666666666665,3717.8333333333335,6319.583333333333,0.0
2025-03-17 08:00:00,210.9805525,51.47518,25080.749999999996,4761.833333333333,2516.25,759.5,143.41666666666666,150.91666666666666,199.41666666666663,0.25,2274.5,5250.083333333333,2113.5833333333335,1424.6666666666667,5486.333333333333,0.0
2025-03-17 09:00:00,39.0043925,34.08695,25614.416666666668,9401.083333333334,2920.0833333333335,744.4166666666666,146.0,151.0,204.16666666666663,0.25,2275.3333333333335,4151.083333333333,1889.5833333333333,-1666.75,3731.4166666666665,0.0
2025-03-17 10:00:00,28.1478725,26.26781,25818.750000000004,11291.75,3492.5,741.1666666666666,146.5,150.5,219.58333333333337,0.4166666666666667,2277.0833333333335,3392.1666666666665,1782.6666666666667,-3306.8333333333335,2324.4166666666665,0.0
2025-03-17 11:00:00,14.2332708333333,21.66629,26775.16666666667,12736.333333333332,4208.5,739.25,148.66666666666666,154.91666666666666,212.5,0.3333333333333333,2277.6666666666665,2524.6666666666665,1560.1666666666667,-5535.666666666667,2212.1666666666665,0.0
2025-03-17 12:00:00,18.8952375,16.7709,25815.333333333336,11550.25,4646.583333333333,737.9166666666666,147.91666666666666,155.91666666666666,210.91666666666663,0.5,2275.25,1804.9166666666667,1391.5833333333333,-5782.583333333333,2893.5833333333335,0.0
2025-03-17 13:00:00,10.9289058333333,12.40977,25530.916666666668,11957.833333333332,4365.25,740.25,146.41666666666666,156.33333333333334,218.33333333333337,0.9166666666666666,2274.25,1674.6666666666667,1487.5,-5933.25,2509.1666666666665,0.0
2025-03-17 14:00:00,8.32408583333333,10.259,25437.75,12429.166666666668,4736.0,742.5833333333334,146.91666666666666,156.5,210.66666666666663,0.25,2274.0833333333335,1625.5,1406.5,-6007.166666666667,1709.5833333333333,0.0
2025-03-17 15:00:00,2.96255583333333,9.43135,23892.5,11252.083333333332,4731.416666666667,749.1666666666666,142.33333333333334,156.0,231.0,0.6666666666666666,2274.3333333333335,1569.0833333333333,1572.6666666666667,-3876.6666666666665,1213.75,0.0
2025-03-17 16:00:00,8.269385,12.42689,23923.16666666666,9921.166666666666,5496.75,743.1666666666666,149.41666666666666,155.91666666666666,219.33333333333337,0.6666666666666666,2273.0833333333335,1871.0833333333333,1860.25,-2395.25,1232.3333333333333,0.0
2025-03-17 17:00:00,10.0688041666667,28.8994,24240.75,7912.416666666667,6009.583333333333,755.5833333333334,142.0,155.75,225.08333333333337,0.8333333333333334,2272.6666666666665,2386.75,2412.25,-860.25,1967.8333333333333,0.0
2025-03-17 18:00:00,35.753185,47.9064,25017.166666666668,2541.75,6010.166666666667,761.5,140.83333333333334,155.83333333333334,240.66666666666663,1.0,2271.75,2995.8333333333335,2850.8333333333335,1583.75,5463.25,0.0
2025-03-17 19:00:00,43.1575491666667,52.83458,26719.083333333336,-5.583333333333333,5132.333333333333,764.75,151.41666666666666,153.83333333333334,237.08333333333337,0.5,2273.4166666666665,3568.25,3156.8333333333335,4702.0,6584.25,0.0
2025-03-17 20:00:00,40.6682516666667,52.69351,26701.416666666668,-42.583333333333336,4734.833333333333,758.6666666666666,152.41666666666666,151.5,234.91666666666663,-0.0833333333333333,2275.1666666666665,3581.0,3129.25,4912.25,6814.083333333333,0.0
2025-03-17 21:00:00,43.9388541666667,49.3305,26054.166666666664,-54.416666666666664,4818.916666666667,759.0833333333334,165.5,147.08333333333334,233.41666666666663,-0.1666666666666666,2274.5833333333335,3785.5,3061.25,4267.333333333333,6596.083333333333,0.0
